exp_name,gan_type,p_increment,epoch,class,ap,noccur,map
results_retinanet50_both_20,both,20,38,person,0.7258722977391089,5779.0,0.6939521711228247
results_retinanet50_both_20,both,20,38,bicycle,0.5576184925378344,471.0,0.6939521711228247
results_retinanet50_both_20,both,20,38,car,0.7983657230915309,5432.0,0.6939521711228247
results_retinanet50_both_20,both,20,40,person,0.7138356462077182,5779.0,0.6899474486919522
results_retinanet50_both_20,both,20,40,bicycle,0.563763665828617,471.0,0.6899474486919522
results_retinanet50_both_20,both,20,40,car,0.7922430340395213,5432.0,0.6899474486919522
results_retinanet50_both_20,both,20,43,person,0.7102090246545533,5779.0,0.6864559358196044
results_retinanet50_both_20,both,20,43,bicycle,0.5595510976782001,471.0,0.6864559358196044
results_retinanet50_both_20,both,20,43,car,0.7896076851260596,5432.0,0.6864559358196044
results_retinanet50_both_20,both,20,30,person,0.7129753287520498,5779.0,0.6804259955501872
results_retinanet50_both_20,both,20,30,bicycle,0.5351295707114769,471.0,0.6804259955501872
results_retinanet50_both_20,both,20,30,car,0.7931730871870347,5432.0,0.6804259955501872
results_retinanet50_both_20,both,20,39,person,0.7025282980385208,5779.0,0.6833431910335465
results_retinanet50_both_20,both,20,39,bicycle,0.554806259627415,471.0,0.6833431910335465
results_retinanet50_both_20,both,20,39,car,0.7926950154347033,5432.0,0.6833431910335465
results_retinanet50_both_20,both,20,36,person,0.7227487336096678,5779.0,0.692706397619968
results_retinanet50_both_20,both,20,36,bicycle,0.5632774472472988,471.0,0.692706397619968
results_retinanet50_both_20,both,20,36,car,0.7920930120029375,5432.0,0.692706397619968
results_retinanet50_masked_20,masked,20,46,person,0.7119552250170537,5779.0,0.6847829817658333
results_retinanet50_masked_20,masked,20,46,bicycle,0.5463747043924719,471.0,0.6847829817658333
results_retinanet50_masked_20,masked,20,46,car,0.7960190158879741,5432.0,0.6847829817658333
results_retinanet50_masked_20,masked,20,20,person,0.7199980824529969,5779.0,0.6890675997164281
results_retinanet50_masked_20,masked,20,20,bicycle,0.5437490859704117,471.0,0.6890675997164281
results_retinanet50_masked_20,masked,20,20,car,0.8034556307258757,5432.0,0.6890675997164281
results_retinanet50_masked_20,masked,20,37,person,0.7177422343574285,5779.0,0.6962976585656016
results_retinanet50_masked_20,masked,20,37,bicycle,0.568209566220912,471.0,0.6962976585656016
results_retinanet50_masked_20,masked,20,37,car,0.8029411751184641,5432.0,0.6962976585656016
results_retinanet50_masked_20,masked,20,41,person,0.7243522585136859,5779.0,0.6996687713150154
results_retinanet50_masked_20,masked,20,41,bicycle,0.5709944208904816,471.0,0.6996687713150154
results_retinanet50_masked_20,masked,20,41,car,0.8036596345408787,5432.0,0.6996687713150154
results_retinanet50_masked_20,masked,20,10,person,0.7288066909857671,5779.0,0.6968919997725355
results_retinanet50_masked_20,masked,20,10,bicycle,0.5562636169328794,471.0,0.6968919997725355
results_retinanet50_masked_20,masked,20,10,car,0.8056056913989602,5432.0,0.6968919997725355
results_retinanet50_masked_20,masked,20,0,person,0.48662856160865253,5779.0,0.5028299334208565
results_retinanet50_masked_20,masked,20,0,bicycle,0.31962180881554686,471.0,0.5028299334208565
results_retinanet50_masked_20,masked,20,0,car,0.7022394298383698,5432.0,0.5028299334208565
results_retinanet50_masked_20,masked,20,44,person,0.7053765377288315,5779.0,0.6848894161217259
results_retinanet50_masked_20,masked,20,44,bicycle,0.5516607662501198,471.0,0.6848894161217259
results_retinanet50_masked_20,masked,20,44,car,0.7976309443862266,5432.0,0.6848894161217259
results_retinanet50_masked_20,masked,20,42,person,0.7051771060838653,5779.0,0.6873972474010177
results_retinanet50_masked_20,masked,20,42,bicycle,0.5620523989309145,471.0,0.6873972474010177
results_retinanet50_masked_20,masked,20,42,car,0.7949622371882732,5432.0,0.6873972474010177
results_retinanet50_masked_20,masked,20,45,person,0.7227474726025421,5779.0,0.6856372920602537
results_retinanet50_masked_20,masked,20,45,bicycle,0.5427994475438699,471.0,0.6856372920602537
results_retinanet50_masked_20,masked,20,45,car,0.791364956034349,5432.0,0.6856372920602537
results_retinanet50_masked_20,masked,20,48,person,0.7134832000037796,5779.0,0.6924063587359122
results_retinanet50_masked_20,masked,20,48,bicycle,0.5771388942342052,471.0,0.6924063587359122
results_retinanet50_masked_20,masked,20,48,car,0.7865969819697518,5432.0,0.6924063587359122
results_retinanet50_masked_20,masked,20,49,person,0.7070650844675851,5779.0,0.6892551729980273
results_retinanet50_masked_20,masked,20,49,bicycle,0.5728051398203649,471.0,0.6892551729980273
results_retinanet50_masked_20,masked,20,49,car,0.7878952947061321,5432.0,0.6892551729980273
results_retinanet50_masked_20,masked,20,47,person,0.7171607853890176,5779.0,0.6848974979412888
results_retinanet50_masked_20,masked,20,47,bicycle,0.5477917280910569,471.0,0.6848974979412888
results_retinanet50_masked_20,masked,20,47,car,0.7897399803437918,5432.0,0.6848974979412888
results_retinanet50_masked_20,masked,20,38,person,0.720600426034919,5779.0,0.6937624397712039
